date,factor,ic,rank_ic
2021-01-21,close_position_60,,
2021-01-21,ret_20_div_vol_20,,
2021-01-21,ret_60_div_vol_60,,
2021-01-22,ret_1,-0.18467549265298816,-0.022207835384681712
2021-01-22,ret_3,-0.2383848986277348,-0.16560982098236396
2021-01-22,ret_5,-0.276458117278964,-0.18673273703868948
2021-01-22,ret_10,-0.26952847783174144,-0.17490507603630506
2021-01-22,ret_20,,
2021-01-22,ret_60,,
2021-01-22,ret_120,,
2021-01-22,volatility_5,-0.38679145021700784,-0.37532720226524596
2021-01-22,volatility_10,-0.39924211624459177,-0.38021248901385934
2021-01-22,volatility_20,-0.36827739033366547,-0.3504668318768867
2021-01-22,volatility_60,,
2021-01-22,amplitude_5,-0.3872699406547928,-0.4541862784803499
2021-01-22,amplitude_10,-0.3596389481490895,-0.32650233069171153
2021-01-22,amplitude_20,-0.2999877477334454,-0.29479695967277364
2021-01-22,volume_mean_5,-0.043801609436913594,0.06124105881141428
2021-01-22,volume_mean_20,0.02805774741094537,0.0954100701391085
2021-01-22,volume_mean_60,,
2021-01-22,amount_mean_5,-0.26580866582758766,-0.3009420624883647
2021-01-22,amount_mean_20,-0.22244173305253762,-0.2663111186027786
2021-01-22,amount_mean_60,,
2021-01-22,turnover_mean_5,-0.35993140814216595,-0.4667478548589252
2021-01-22,turnover_mean_20,-0.3392347234009571,-0.4420974538150622
2021-01-22,turnover_mean_60,,
2021-01-22,corr_ret_volume_10,0.1298040747107417,0.11339744398428964
2021-01-22,corr_ret_volume_20,0.022115914377790945,0.03135542211144411
2021-01-22,corr_close_volume_20,0.02014804256869083,0.008832710425143407
2021-01-22,corr_ret_amount_20,0.010814577850900193,0.03489690505528133
2021-01-22,volume_chg_5_20,-0.1848659874991048,-0.17043911590577837
2021-01-22,amount_chg_5_20,-0.20122401058902917,-0.19255588685938624
2021-01-22,turnover_chg_5_20,-0.19006953606514612,-0.167975475597022
2021-01-22,close_to_high_20,-0.08316266104534452,-0.011940298508120707
2021-01-22,close_to_low_20,-0.34932921885788404,-0.3154829814586143
2021-01-22,close_position_20,-0.28602939298958324,-0.2423970939760113
2021-01-22,close_position_60,,
2021-01-22,ret_20_div_vol_20,,
2021-01-22,ret_60_div_vol_60,,
2021-01-25,ret_1,-0.017376297757685795,-0.04668612516598274
2021-01-25,ret_3,-0.04941509606670806,-0.04348084743034315
2021-01-25,ret_5,-0.07089487493276939,-0.0133399589862751
2021-01-25,ret_10,-0.03819242158725185,-0.07206797360003919
2021-01-25,ret_20,,
2021-01-25,ret_60,,
2021-01-25,ret_120,,
2021-01-25,volatility_5,-0.2593360835339545,-0.31031743532327233
2021-01-25,volatility_10,-0.3550107378133119,-0.3916377087009867
2021-01-25,volatility_20,-0.33774981632296813,-0.35438253913479567
2021-01-25,volatility_60,,
2021-01-25,amplitude_5,-0.2748925263415662,-0.3643629771963001
2021-01-25,amplitude_10,-0.2661595179099004,-0.3186111373589545
2021-01-25,amplitude_20,-0.1735656921145932,-0.23300053541763405
2021-01-25,volume_mean_5,0.08423071915939773,0.14996553039541152
2021-01-25,volume_mean_20,0.13793132108325032,0.19913983461710197
2021-01-25,volume_mean_60,,
2021-01-25,amount_mean_5,-0.2463716879877565,-0.3418265041541932
2021-01-25,amount_mean_20,-0.23735223731408817,-0.31660945062291646
2021-01-25,amount_mean_60,,
2021-01-25,turnover_mean_5,-0.25879165458560516,-0.45676951557361006
2021-01-25,turnover_mean_20,-0.27714468811447346,-0.4244135792774422
2021-01-25,turnover_mean_60,,
2021-01-25,corr_ret_volume_10,0.1838606659024055,0.21975860777922834
2021-01-25,corr_ret_volume_20,0.10203501939567093,0.12341168607188553
2021-01-25,corr_close_volume_20,-0.03387646540524809,0.04383413995736511
2021-01-25,corr_ret_amount_20,0.09304831807995043,0.1328672062830304
2021-01-25,volume_chg_5_20,-0.1406529400331816,-0.21672808205648542
2021-01-25,amount_chg_5_20,-0.1250699589398076,-0.20712558484723986
2021-01-25,turnover_chg_5_20,-0.14882420852730083,-0.21770092980581862
